fulltime_before,fulltime_after,state
40.5,24,0
13.75,11.5,0
8.5,10.5,0
34,20,0
24,35.5,0
20.5,NA,0
70.5,29,0
23.5,36.5,0
11,11,0
9,8.5,0
15.5,17.5,0
58,29,0
26.5,30.5,0
28.5,26,0
13.5,18,0
16.75,20,0
9.5,13.5,0
15,19,0
29.5,15.5,0
18.5,14.5,0
20.25,14,0
36,19,0
21,21,0
20.5,18,0
19,20.5,0
14,13.5,0
19,17.5,0
32.5,25.5,0
19,15.5,0
27,25.5,0
19.5,27,0
24,16,0
18,19,0
NA,24.5,0
19,25,0
14,17,0
10.5,16.5,0
38,20,0
23.5,18,0
10.5,12,0
25,25,0
11,11,0
36.5,27,0
52.5,34,0
29,25,0
45,37.5,0
22.75,21,0
7.5,9.5,0
15.5,18,0
38,18,0
17.5,19,0
25,31.5,0
NA,23,0
21,24.5,0
15.5,27.5,0
15.5,34.5,0
8.5,14,0
18,15,0
20.75,23,0
39,26.5,0
41.5,23.5,0
22.5,35.5,0
32,21,0
24,23,0
26,20,0
48.5,27,0
8.5,13,0
18.5,0,0
13,13.5,0
22.5,NA,0
28,26.75,0
24.5,43.5,0
18.5,41.25,0
23.5,14.25,0
15,12.5,0
18,34,0
20.25,10,0
15.5,14,0
21,17.5,0
15,27,1
15,21.5,1
24,23,1
19.25,21.5,1
21.5,34.5,1
9.5,10.5,1
44,16.5,1
NA,23,1
21,38,1
28,36,1
10,16,1
20.5,20.5,1
25.5,19,1
19,53,1
16.5,16.5,1
17,16.5,1
27.5,45,1
5,8,1
16,15.5,1
41.5,24,1
13,7.5,1
10,7.5,1
15,18.5,1
26,16.5,1
18,33.5,1
35,37,1
21,18,1
34.5,26.5,1
18.25,33,1
24.5,NA,1
20,20.5,1
16,24.5,1
17.5,16,1
20.5,NA,1
20,23.5,1
12.25,13,1
33,20,1
31.5,22,1
NA,28.5,1
18,NA,1
28,25.5,1
16.5,18,1
14.75,9,1
23.5,26.5,1
10,0,1
46.5,23.75,1
15.5,18,1
24.5,36,1
24,21,1
23,15.5,1
28,22.5,1
32.5,27,1
23,34,1
17,16.75,1
30,26,1
21.5,18,1
32,20.5,1
8,15,1
35.5,25.5,1
31.5,NA,1
33,20,1
22,18,1
23,26.5,1
23,23.25,1
8.5,10.5,1
12.5,12,1
9.5,9.5,1
13,15.5,1
17,14.5,1
9,14,1
19,6.5,1
11.5,10,1
13,11.5,1
48,46.5,1
45.5,26.5,1
15,16,1
18,13,1
21,14,1
20.5,15.5,1
20.5,18,1
17.5,27,1
27.5,27,1
24,29.5,1
34,16.5,1
18,31.5,1
24,27.5,1
NA,25.5,1
33.5,32,1
12,14.5,1
35,10.5,1
35,44,1
16,15.5,1
15.5,10.5,1
19,24,1
24,29,1
NA,30.5,1
36,20,1
29,26.5,1
29,27,1
21.25,26.5,1
15.5,10.5,1
19.5,18,1
21,18.5,1
14,25.5,1
30.5,32,1
23.5,33,1
14,7.5,1
14.5,12.5,1
15.5,24,1
26.5,29,1
8,10,1
5.5,9.5,1
23.25,17.5,1
15.5,17.5,1
32.25,25,1
30,26,1
NA,24,1
30.5,22.5,1
14,NA,1
27,35,1
18.5,17.75,1
38,24.5,1
16.5,16.5,1
50,30,1
20.5,39,1
6.5,17,1
13.5,12.5,1
28,38.5,1
21.5,20,1
NA,21,1
24,32,1
20.5,19,1
NA,20,1
23.5,26.5,1
23,19,1
17,20,1
20.5,22.5,1
23.5,10,1
9.5,12.5,1
10,11,1
14,12.5,1
85,59,1
15,19,1
21.5,15.5,1
53,19,1
24,26.5,1
20.5,17.5,1
14.5,20.5,1
25,28,1
27,30.25,1
22.5,44,1
36.5,17.5,1
17.25,31,1
21.5,31,1
24.5,28.5,1
19,19,1
25,41,1
16,28,1
19,9.5,1
22.75,25,1
35,28,1
16,16,1
21,22.75,1
26.75,NA,1
30.5,32,1
23,27.5,1
21.5,25.5,1
36.5,60.5,1
23,20.5,1
14,16,1
17.25,25,1
18.5,13,1
8.5,9,1
14,16.5,1
23,21,1
29,21.5,1
19,20,1
21,21.25,1
17,21.5,1
36,31,1
25,33,1
29.5,37.75,1
22,9,1
11,11,1
13.5,12.75,1
13.5,10.5,1
18,22,1
9.5,8,1
24,25,1
14.5,12.5,1
29,22.5,1
10.5,11.5,1
18,23.5,1
NA,30,1
9,16.5,1
33,29,1
19.5,30,1
41,22.5,1
17,24,1
18.25,21.75,1
17,13.5,1
32,24,1
26,28.5,1
11.5,10,1
21,23.5,1
22.75,30.5,1
18.5,24.75,1
20,22.5,1
18,28,1
10.5,14,1
10.5,9,1
11,9.5,1
10.5,15.5,1
12.5,12,1
18,11.5,1
17,12.5,1
15,16,1
19.5,28.5,1
13,15,1
20.25,23.5,1
26,30.5,1
15.5,26.5,1
24,27,1
25.5,21.5,1
14.5,NA,1
21.5,21.5,1
14,37.5,1
20,11.5,1
22.5,21,1
30,28,1
24,24,1
22,23,1
13,19,1
5,7,1
13.5,14,1
28,NA,1
18,32,1
24,22,1
16.5,14.25,1
7,16.5,1
11,0,1
19.5,47.5,1
10,15.5,1
13,10.5,1
10,7,1
12.5,11,1
8,8.5,1
12,0,1
20.5,15,1
18.5,13.5,1
11.5,12.5,1
15,12.5,1
13,12.5,1
10,10,1
17,13.5,1
17,16,1
20.5,23.5,1
15.5,NA,1
19.5,34,1
30.5,32.5,1
23,21.5,1
13,20,1
30.25,43.5,1
18,17.5,1
10,7,1
19.5,NA,1
17,22,1
25.5,22,1
6,7,1
11.5,14,1
8.5,27,1
18.5,18.5,1
15.5,11.5,1
14.25,16,1
38,25,1
24.75,30.5,1
23,11.5,1
24,25.5,1
7.5,9.5,1
15,11.5,1
9.25,12,1
11.25,0,1
16.5,17,1
18.75,24,1
13.5,NA,1
21.75,NA,1
13.5,13.5,1
15,17,1
17.5,28,1
17.5,21.5,1
NA,30,1
15.5,19.5,1
16.5,20,1
13.5,14.5,1
13,14.5,1
11.5,0,1
29.05,31.5,1
13,11.5,1
18,20,1
30,34,1
20.5,25,1
10,10,1
NA,18,1
26,25,1
12.5,23,1
19.5,17.5,1
12,23,1
36,26,1
21,16.5,1
24.5,35.5,1
20,31,1
26.5,23,1
15,22.5,1
19,21.5,1
17.5,12,1
20.5,20.5,1
21,25,1
10.5,8.5,1
23,13,1
23,21.5,1
29,23,1
21,25.5,1
41.5,21.5,1
12,9.5,1
33,36.5,1
6.5,16,1
9,23.75,1
9.75,17.5,1
24.5,20.5,1
14,20.5,1
19.5,25,1
